REF_DATE,unemployment,gdp,GDP_Cycle12,BBarometer_Cycle,GBP_BB3MA_minmax_interact,vacancy
2006-01-01,6.7,1649021.0,0.9974687249856823,,0.9974687249856823,
2006-02-01,6.6,1652615.0,0.9990590262021669,,0.9990590262021669,
2006-03-01,6.5,1656380.0,1.000750464563053,,1.0,
2006-04-01,6.5,1656732.0,1.0003787737517933,,1.0,
2006-05-01,6.2,1657513.0,1.0002661336379106,,1.0,
2006-06-01,6.3,1654837.0,0.9980683773993151,,0.9980683773993151,
2006-07-01,6.5,1657920.0,0.9993442989540564,,0.9993442989540564,
2006-08-01,6.5,1659196.0,0.9995299543754532,,0.9995299543754532,
2006-09-01,6.5,1656876.0,0.9975501890051574,,0.9975501890051574,
2006-10-01,6.3,1659594.0,0.9986040448679221,,0.9986040448679221,
2006-11-01,6.5,1663364.0,1.000289235706483,,1.0,
2006-12-01,6.3,1673956.0,1.0060725841149458,,1.0,
2007-01-01,6.4,1670535.0,1.0034321438493983,,1.0,
2007-02-01,6.3,1678760.0,1.0077861382156168,,1.0,
2007-03-01,6.3,1682294.0,1.0093207066520815,,1.0,
2007-04-01,6.3,1684443.0,1.0100230351438841,,1.0,
2007-05-01,6.2,1691753.0,1.0138172577958704,,1.0,
2007-06-01,6.1,1696447.0,1.0160399532106377,,1.0,
2007-07-01,6.0,1696013.0,1.0151899103054478,,1.0,
2007-08-01,6.0,1700841.0,1.0174876040277843,,1.0,
2007-09-01,6.0,1697794.0,1.015072647750166,,1.0,
2007-10-01,6.0,1699351.0,1.0154091373156338,,1.0,
2007-11-01,6.1,1700851.0,1.015707977762004,,1.0,
2007-12-01,6.2,1694291.0,1.0111919111481154,,1.0,
2008-01-01,6.1,1701279.0,1.0147569388199922,,1.0,
2008-02-01,6.1,1698189.0,1.0123037405615138,,1.0,
2008-03-01,6.2,1701248.0,1.0135091152435238,,1.0,
2008-04-01,6.2,1704814.0,1.01500585853234,,1.0,
2008-05-01,6.2,1704784.0,1.0143506115427319,,1.0,
2008-06-01,6.1,1708170.0,1.015715339351337,,1.0,
2008-07-01,6.2,1715622.0,1.0194806493484116,,1.0,
2008-08-01,6.2,1714295.0,1.0180119917072348,,1.0,
2008-09-01,6.3,1714712.0,1.0175625902124295,,1.0,
2008-10-01,6.4,1712871.0,1.0157549892958733,,1.0,
2008-11-01,6.7,1695651.0,1.0048145938452997,,1.0,
2008-12-01,7.0,1672410.0,0.9903008614491431,,0.9903008614491431,
2009-01-01,7.5,1664411.0,0.9848014264660331,,0.9848014264660331,
2009-02-01,8.1,1655773.0,0.9789045253286287,,0.9789045253286287,
2009-03-01,8.3,1642352.0,0.9701615198746508,,0.9701615198746508,
2009-04-01,8.4,1637034.0,0.9661836920962318,,0.9661836920962318,
2009-05-01,8.6,1635329.0,0.9643096511365424,,0.9643096511365424,
2009-06-01,8.8,1637232.0,0.9645294321714608,,0.9645294321714608,
2009-07-01,8.8,1639863.0,0.9651408361173185,,0.9651408361173185,
2009-08-01,8.8,1639145.0,0.9637445346408418,,0.9637445346408418,
2009-09-01,8.5,1651417.0,0.9699425425797596,,0.9699425425797596,
2009-10-01,8.5,1653106.0,0.9698794629193304,,0.9698794629193304,
2009-11-01,8.6,1662710.0,0.9744160008102044,,0.9744160008102044,
2009-12-01,8.6,1667429.0,0.976043453730687,,0.976043453730687,
2010-01-01,8.4,1677635.0,0.9808359458599256,,0.9808359458599256,
2010-02-01,8.4,1686315.0,0.9846867236569445,,0.9846867236569445,
2010-03-01,8.3,1694468.0,0.9881818954141142,,0.9881818954141142,
2010-04-01,8.2,1692492.0,0.9857306595660228,,0.9857306595660228,
2010-05-01,8.1,1700050.0,0.9887939250798765,,0.9887939250798765,
2010-06-01,8.0,1704611.0,0.9900715454049879,,0.9900715454049879,
2010-07-01,8.2,1707189.0,0.9901597791078471,,0.9901597791078471,
2010-08-01,8.2,1712496.0,0.9917935814105393,,0.9917935814105393,
2010-09-01,8.2,1712435.0,0.9902846569904787,,0.9902846569904787,
2010-10-01,8.1,1721370.0,0.9939421937394911,,0.9939421937394911,
2010-11-01,7.8,1729551.0,0.9971224629094032,,0.9971224629094032,
2010-12-01,7.8,1741609.0,1.0024942646218413,,1.0,
2011-01-01,7.8,1747291.0,1.004155719122802,,1.0,
2011-02-01,7.8,1744126.0,1.000707941383684,,1.0,
2011-03-01,7.8,1749485.0,1.002127616332607,,1.0,
2011-04-01,7.8,1749674.0,1.0005608208290915,,1.0,
2011-05-01,7.7,1745781.0,0.9966449378558795,,0.9966449378558795,
2011-06-01,7.7,1753348.0,0.9992508836545663,,0.9992508836545663,
2011-07-01,7.4,1765251.0,1.004293260717921,,1.0,
2011-08-01,7.4,1774000.0,1.007506578208467,,1.0,
2011-09-01,7.4,1778754.0,1.0084246521908262,,1.0,
2011-10-01,7.5,1778522.0,1.006499895921064,,1.0,
2011-11-01,7.6,1780501.0,1.0058142773964205,,1.0,
2011-12-01,7.5,1789093.0,1.0088444703747192,,1.0,
2012-01-01,7.7,1787647.0,1.006199070718308,,1.0,
2012-02-01,7.6,1783169.0,1.0018462141439384,,1.0,
2012-03-01,7.3,1787826.0,1.0026196190439562,,1.0,
